电影名,评分,评价人数,链接,时间,演员,imdb_link
缘份,7.1,12767.0,https://movie.douban.com/subject/1304961/,1984-10-03(香港),"['2016-03-25(中国大陆)', '张国荣', '张曼玉', '梅艳芳', '陈友']",http://www.imdb.com/title/tt0086950
缘分天注定,7.6,45356.0,https://movie.douban.com/subject/1305541/,2001-10-05(美国/加拿大),"['约翰·库萨克', '凯特·贝金赛尔', '布丽姬·穆娜', '杰里米·皮文', '尤金·列维']",http://www.imdb.com/title/tt0240890
缺席的人,8.3,10110.0,https://movie.douban.com/subject/1306032/,2001-10-26 00:00:00,"['比利·鲍伯·松顿', '弗兰西斯·麦克多蒙德', '迈克尔·巴达鲁科', '詹姆斯·甘多菲尼',",http://www.imdb.com/title/tt0243133
网球王子,8,21902.0,https://movie.douban.com/subject/1477963/,2001-10-10(日本),"['皆川纯子', '置鲇龙太郎', '甲斐田雪', '小野坂昌也', '喜安浩平']",http://www.imdb.com/title/tt0466352
罗丹的情人,8.1,17553.0,https://movie.douban.com/subject/1293466/,1988-12-07 00:00:00,"['伊莎贝尔·阿佳妮', '杰拉尔·德帕迪约', 'Laurent Grévill', '阿兰·盖音",http://www.imdb.com/title/tt0094828
罗密欧与朱丽叶,7.2,40945.0,https://movie.douban.com/subject/1306154/,1996-11-01(美国),"['莱昂纳多·迪卡普里奥', '克莱尔·丹妮丝', '约翰·雷吉扎莫', '哈罗德·佩里诺', '皮",http://www.imdb.com/title/tt0117509
罗小黑战记,9.5,10119.0,https://movie.douban.com/subject/10477598/,2011-03-18(中国大陆),"['山新', '琪琪', '笑谈', '皇贞季', '中国大陆']",
罗拉快跑,8.1,141604.0,https://movie.douban.com/subject/1292275/,1998-08-20(德国),"['弗兰卡·波坦特', '莫里兹·布雷多', '赫伯特·奈普', '妮娜·皮媞', '阿敏·罗德']",http://www.imdb.com/title/tt0130827
罗斯玛丽的婴儿,7.9,13691.0,https://movie.douban.com/subject/1293852/,1968-06-12 00:00:00,"['米亚·法罗', '约翰·卡索维茨', '鲁思·戈登', '西德尼·布莱克默', '拉尔夫·贝拉米",http://www.imdb.com/title/tt0063522
罗曼蒂克消亡史,7.7,75559.0,https://movie.douban.com/subject/24751763/,2016-12-16(中国大陆),"['葛优', '章子怡', '浅野忠信', '杜淳', '钟欣潼']",http://www.imdb.com/title/tt4623812
罗生门,8.7,104642.0,https://movie.douban.com/subject/1291879/,1950-08-25(日本),"['三船敏郎', '千秋实', '京町子', '森雅之', '志村乔']",http://www.imdb.com/title/tt0042876
罗马假日,8.9,347901.0,https://movie.douban.com/subject/1293839/,1953-09-02(美国),"['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆",http://www.imdb.com/title/tt0046250
罗马情缘,6.2,15738.0,https://movie.douban.com/subject/3008256/,2010-01-29 00:00:00,"['克里斯汀·贝尔', '威尔·阿奈特', '乔什·杜哈明', '丹尼·德维托', '阿丽西丝·泽纳",http://www.imdb.com/title/tt1185416
罗马浴场,6.4,10674.0,https://movie.douban.com/subject/6037517/,2012-04-28 00:00:00,"['阿部宽', '上户彩', '北村一辉', '市村正亲', '宍户开']",http://www.imdb.com/title/tt1867101
罗马的房子,7.3,16202.0,https://movie.douban.com/subject/3431336/,2010-04-24 00:00:00,"['埃琳纳·安娜亚', '娜塔莎·亚罗温科', '西班牙', '胡里奥·密谭', '109 分钟']",http://www.imdb.com/title/tt1263750
罗马第一季,8.9,16963.0,https://movie.douban.com/subject/1421781/,2005-08-28(美国),"['凯文·麦克基德', '雷·史蒂文森', '塞伦·希德', '肯尼思·库兰汉姆', '凯瑞·康顿'",http://www.imdb.com/title/tt0384766
罪夜之奔,8.7,20120.0,https://movie.douban.com/subject/20558374/,2016-07-10(美国),"['里兹·阿迈德', '比尔·坎普', '佩曼·莫阿迪', '约翰·特托罗', '普娜·贾甘纳坦']",http://www.imdb.com/title/tt2401256
罪恶之城2,6.7,30534.0,https://movie.douban.com/subject/1428055/,2014-08-22(美国),"['米基·洛克', '杰西卡·阿尔芭', '乔什·布洛林', '约瑟夫·高登-莱维特', '罗莎里奥",http://www.imdb.com/title/tt0458481
罪恶之家,8.4,62028.0,https://movie.douban.com/subject/25955491/,2015-09-13(英国),"['大卫·休里斯', '米兰达·理查森', '苏菲·兰朵', '肯·斯托特', '芬恩·科尔']",http://www.imdb.com/title/tt4271918
罪恶王冠,7.1,13280.0,https://movie.douban.com/subject/6518736/,2011-10-13(日本),"['梶裕贵', '茅野爱衣', '中村悠一', '花泽香菜', '竹达彩奈']",http://www.imdb.com/title/tt2122656
罪恶黑名单第一季,7.7,11325.0,https://movie.douban.com/subject/24695264/,2013-09-23(美国),"['詹姆斯·斯派德', '梅根·布恩', '迪亚哥·克莱特霍夫', '瑞安·艾戈尔德', '查尔斯·",http://www.imdb.com/title/tt2741602
美丽中国,9.4,26296.0,https://movie.douban.com/subject/3077948/,Bernard Hill,"['英国', '中国', 'Phil Chapman', 'Gavin Maxwell', '60分",http://www.imdb.com/title/tt0884762
美丽人生,9.5,364418.0,https://movie.douban.com/subject/1292063/,1997-12-20(意大利),"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '塞",http://www.imdb.com/title/tt0118799
美丽密令,5.5,39016.0,https://movie.douban.com/subject/4100696/,2010-03-30 00:00:00,"['蔡卓妍', '吴君如', '陆毅', '谢娜', '樊少皇']",http://www.imdb.com/title/tt1611907
美丽心灵,8.9,275455.0,https://movie.douban.com/subject/1306029/,2001-12-13(加州首映),"['2002-01-04(美国)', '罗素·克劳', '詹妮弗·康纳利', '艾德·哈里斯', '",http://www.imdb.com/title/tt0268978
美丽的大脚,7.3,19574.0,https://movie.douban.com/subject/1438689/,2002-10-28(中国大陆),"['2003-05-02(美国)', '倪萍', '孙海英', '袁泉', '许亚军']",http://www.imdb.com/title/tt0361634
美人为馅,5.7,15417.0,https://movie.douban.com/subject/26614086/,2016-10-24(中国大陆),"['杨蓉', '白宇', '张逸杰', '米热', '戚迹']",
美人图,6.7,11073.0,https://movie.douban.com/subject/3319776/,2008-11-13 00:00:00,"['金圭丽', '金英浩', '秋瓷炫', '金南佶', '韩国']",http://www.imdb.com/title/tt1330206
美人心计,7.6,39004.0,https://movie.douban.com/subject/3933008/,2010-03-15(中国大陆),"['林心如', '杨幂', '王丽坤', '陈键锋', '何晟铭']",
美人草,6.6,13383.0,https://movie.douban.com/subject/1422081/,2004-03-04(中国大陆),"['刘烨', '舒淇', '齐欢', '房子斌', '陈创']",http://www.imdb.com/title/tt0450044
美人计,7.8,11963.0,https://movie.douban.com/subject/1300766/,1946-09-06 00:00:00,"['加里·格兰特', '英格丽·褒曼', '克劳德·雷恩斯', '路易斯·卡尔亨', '美国']",http://www.imdb.com/title/tt0038787
美人鱼,6.9,353791.0,https://movie.douban.com/subject/19944106/,2016-02-08(中国大陆/香港),"['邓超', '罗志祥', '张雨绮', '林允', '徐克']",http://www.imdb.com/title/tt4701660
美味情缘,6.9,42465.0,https://movie.douban.com/subject/1947144/,2007-07-27(美国),"['凯瑟琳·泽塔-琼斯', '艾伦·艾克哈特', '阿比盖尔·布蕾斯琳', '派翠西娅·克拉克森',",http://www.imdb.com/title/tt0481141
美味盛宴,8.2,17852.0,https://movie.douban.com/subject/25955872/,2014-06-10(安锡国际动画电影节),"['2014-11-07(美国)', '本·布莱索', '凯蒂·洛斯', '亚当·沙皮罗', 'St",http://www.imdb.com/title/tt3689498
美国X档案,8.5,59552.0,https://movie.douban.com/subject/1293527/,1998-10-30 00:00:00,"['爱德华·诺顿', '爱德华·福隆', '比佛莉·德安姬罗', '艾弗利·布鲁克斯', '美国']",http://www.imdb.com/title/tt0120586
美国丽人,8.4,162484.0,https://movie.douban.com/subject/1292062/,1999-09-08(洛杉矶首映),"['1999-10-01(美国)', '凯文·史派西', '安妮特·贝宁', '索拉·伯奇', '米",http://www.imdb.com/title/tt0169547
美国往事,9.1,155470.0,https://movie.douban.com/subject/1292262/,1984-02-17(波士顿首映),"['1984-09-28(意大利)', '罗伯特·德尼罗', '詹姆斯·伍兹', '詹妮弗·康纳利'",http://www.imdb.com/title/tt0087843
美国恐怖故事：女巫集会第三季,7.9,31412.0,https://movie.douban.com/subject/20513355/,2013-10-09(美国),"['杰西卡·兰格', '凯西·贝茨', '莉莉·拉贝', '莎拉·保罗森', '埃文·彼得斯']",http://www.imdb.com/title/tt2516452
美国恐怖故事：旅馆第五季,7.1,11967.0,https://movie.douban.com/subject/26133490/,2015-10-07(美国),"['Lady Gaga', '马特·波莫', '凯西·贝茨', '夏恩·杰克逊', '韦斯·本特利'",http://www.imdb.com/title/tt4217832
美国恐怖故事：谋杀屋第一季,7.7,39097.0,https://movie.douban.com/subject/6729183/,2011-10-05(美国),"['康妮·布里登', '迪伦·麦克德莫特', '埃文·彼得斯', '泰莎·法米加', '丹尼斯·欧哈",http://www.imdb.com/title/tt1844624
美国派,7.3,62450.0,https://movie.douban.com/subject/1295253/,1999-07-09(美国),"['贾森·比格斯', '克里斯·克莱因', '西恩·威廉·斯科特', '托马斯·伊恩·尼古拉斯', ",http://www.imdb.com/title/tt0163651
美国派(番外篇)4：集体露营,6.3,17171.0,https://movie.douban.com/subject/1434257/,2005-12-26(美国),"['尤金·列维', '泰德·希根布尔克 ', '阿莉尔·凯贝尔', '美国', 'Steve Ras",http://www.imdb.com/title/tt0436058
美国派(番外篇)5：裸奔,6.5,19580.0,https://movie.douban.com/subject/1937400/,2006-12-19(美国),"['克里斯托弗·麦克唐纳', '斯蒂夫·泰利', '约翰·怀特', '洁西·斯克拉姆', '罗斯·托",http://www.imdb.com/title/tt0808146
美国派(番外篇)6：兄弟会,6.4,19033.0,https://movie.douban.com/subject/2343491/,2007-12-21(加拿大),"['杰克·怀特', '斯蒂夫·泰利', '克里斯托弗·麦克唐纳', '尤金·列维', '梅根·赫弗恩",http://www.imdb.com/title/tt0974959
美国派(番外篇)7：索爱天书,5.8,11869.0,https://movie.douban.com/subject/3748544/,2009-12-22(美国),"['Eugene Levy', 'Bug Hall', 'Kevin M. Horton', 'Br",http://www.imdb.com/title/tt1407050
美国派2,7,35501.0,https://movie.douban.com/subject/1305068/,2001-08-10(美国),"['贾森·比格斯', '托马斯·伊恩·尼古拉斯', '艾丽森·汉妮根', '艾迪·凯伊·托马斯', ",http://www.imdb.com/title/tt0252866
美国派3：美国婚礼,7,29360.0,https://movie.douban.com/subject/1308429/,2003-08-01(美国),"['贾森·比格斯', '西恩·威廉·斯科特', '艾丽森·汉妮根', '托马斯·伊恩·尼古拉斯', ",http://www.imdb.com/title/tt0328828
美国狙击手,7.4,50594.0,https://movie.douban.com/subject/21263666/,2014-11-11(AFI影展),"['2015-01-16(美国)', '布莱德利·库珀', '西耶娜·米勒', '卢克·葛莱姆斯',",http://www.imdb.com/title/tt2179136
美国田园下的罪恶,8.2,21416.0,https://movie.douban.com/subject/1872272/,2007-01-19 00:00:00,"['艾伦·佩吉', '哈蕾·麦克法兰', '尼克·西塞', '罗密·罗斯蒙特', '凯瑟琳·基纳']",http://www.imdb.com/title/tt0802948
美国精神病人,7.7,35480.0,https://movie.douban.com/subject/1301715/,2000-01-21(圣丹斯电影节),"['2000-04-14(美国)', '克里斯蒂安·贝尔', '贾斯汀·塞洛克斯', '乔什·卢卡斯",http://www.imdb.com/title/tt0144084
美国队长,6.4,129551.0,https://movie.douban.com/subject/2138838/,2011-07-19(加州首映),"['2011-07-22(美国)', '2011-09-09(中国大陆)', '克里斯·埃文斯', ",http://www.imdb.com/title/tt0458339
美国队长2,7.9,194047.0,https://movie.douban.com/subject/6390823/,2014-03-13(加州首映),"['2014-04-04(美国/中国大陆)', '克里斯·埃文斯', '斯嘉丽·约翰逊', '塞巴斯",http://www.imdb.com/title/tt1843866
美国队长3,7.7,185106.0,https://movie.douban.com/subject/25820460/,2016-05-06(中国大陆/美国),"['2016-04-12(加州首映)', '克里斯·埃文斯', '小罗伯特·唐尼', '斯嘉丽·约翰",http://www.imdb.com/title/tt3498820
美国骗局,6.6,59070.0,https://movie.douban.com/subject/6873657/,2013-12-12(澳大利亚),"['2013-12-20(美国)', '2014-07-04(中国大陆)', '克里斯蒂安·贝尔',",http://www.imdb.com/title/tt1800241
美国黑帮,7.8,29108.0,https://movie.douban.com/subject/1578503/,2007-11-02(美国),"['丹泽尔·华盛顿', '罗素·克劳', '切瓦特·埃加福特', '乔什·布洛林', '里玛莉·娜妲",http://www.imdb.com/title/tt0765429
美女上错身第一季,8.1,16444.0,https://movie.douban.com/subject/3236478/,2009-07-12 00:00:00,"['布洛克·艾略特', '本·费德曼', '杰克逊·赫斯特', '艾普尔·鲍白', '赵牡丹']",http://www.imdb.com/title/tt1280822
美女与野兽,8.3,66415.0,https://movie.douban.com/subject/1297995/,1991-09-29(纽约电影节),"['1991-11-22(美国)', '2012-01-13(美国3D)', '佩吉·奥哈拉', '",http://www.imdb.com/title/tt0101414
美好的一年,7.7,12918.0,https://movie.douban.com/subject/1482101/,2006-11-10(美国),"['罗素·克劳', '玛丽昂·歌迪亚', '艾比·考尼什', '阿尔伯特·芬尼', '弗莱迪·海默'",http://www.imdb.com/title/tt0401445
美妙人生,7.5,14315.0,https://movie.douban.com/subject/1478272/,2005-03-07(韩国),"['金载沅', '柳真', '李智勋', '郑多彬', '韩国']",http://www.imdb.com/title/tt0464626
美姐,7.8,13833.0,https://movie.douban.com/subject/10833919/,2012-11(台湾金马影展),"['2013-10-18(中国大陆)', '叶兰', '冯四', '葛夏', '冯云']",http://www.imdb.com/title/tt2930988
美少女战士,8.4,35916.0,https://movie.douban.com/subject/2032236/,1992-03-07(日本),"['1997-06-01(中国大陆)', '三石琴乃', '久川绫', '富泽美智惠', '篠原惠美",http://www.imdb.com/title/tt0103369
美少女特攻队,6,43713.0,https://movie.douban.com/subject/3262050/,2011-03-25(美国),"['2011-04-15(中国大陆)', '艾米莉·布朗宁', '杰米·钟', '吉娜·马隆', '",http://www.imdb.com/title/tt0978764
美少女的谎言第一季,7.5,12169.0,https://movie.douban.com/subject/4317671/,2010-06-08(美国),"['艾什莉·本森', '比安卡·劳森', '查德·洛 Chad Lowe', '露西·海尔', '伊",http://www.imdb.com/title/tt1578873
美少年之恋,7.4,58064.0,https://movie.douban.com/subject/1306317/,1998-09-11(多伦多电影节),"['冯德伦', '吴彦祖', '舒淇', '曾仕贤', '尹子维']",http://www.imdb.com/title/tt0168496
美错,7.9,11779.0,https://movie.douban.com/subject/3008672/,2010-10-15(西班牙),"['哈维尔·巴登', '马里塞尔·阿尔瓦雷斯', '布兰卡·波蒂洛', '鲁本·奥钱蒂诺', '埃德",http://www.imdb.com/title/tt1164999
美食、祈祷和恋爱,7.3,73513.0,https://movie.douban.com/subject/2033822/,2010-08-13(美国),"['朱莉娅·罗伯茨', '哈维尔·巴登', '詹姆斯·弗兰科', '比利·克鲁德普', '理查德·詹",http://www.imdb.com/title/tt0879870
美食总动员,8.2,156952.0,https://movie.douban.com/subject/1793491/,2007-06-29(美国),"['2007-10-19(中国大陆)', '帕顿·奥斯瓦尔特', '彼得·奥图尔', '布拉德·加内",http://www.imdb.com/title/tt0382932
羞耻,7.3,55644.0,https://movie.douban.com/subject/5360890/,2011-09-04(威尼斯电影节),"['2012-01-13(英国)', '迈克尔·法斯宾德', '凯瑞·穆里根', '妮可·贝哈瑞 '",http://www.imdb.com/title/tt1723811
群尸玩过界,7.7,18083.0,https://movie.douban.com/subject/1300377/,1992-08-13 00:00:00,"['蒂莫西·贝尔米', '黛安娜·培耶', 'Elizabeth Moody', '新西兰', '彼",http://www.imdb.com/title/tt0103873
群鸟,8.1,19140.0,https://movie.douban.com/subject/1310175/,1963-03-28(美国),"['蒂比·海德莉', '罗德·泰勒', '杰西卡·坦迪', '苏珊娜·普莱薛特', '维罗尼卡·卡维",http://www.imdb.com/title/tt0056869
翡翠森林：狼与羊,8.2,16568.0,https://movie.douban.com/subject/1469984/,2005-12-10(日本),"['中村狮童', '成宫宽贵', '板东英二', 'Kaba.Chan', 'Hayashiya S",http://www.imdb.com/title/tt0498465
翻滚吧！阿信,7.1,56176.0,https://movie.douban.com/subject/5244092/,2011-08-12(台湾),"['2011-12-09(中国大陆)', '彭于晏', '林辰唏', '陈汉典', '柯宇纶']",http://www.imdb.com/title/tt2011076
翻译风波,6.6,14046.0,https://movie.douban.com/subject/1291823/,2005-04-04(悉尼首映),"['2005-04-22(中国大陆)', '妮可·基德曼', '西恩·潘', '凯瑟琳·基纳', '",http://www.imdb.com/title/tt0373926
老九门,5.6,28257.0,https://movie.douban.com/subject/26614088/,2016-07-04(中国大陆),"['陈伟霆', '张艺兴', '赵丽颖', '应昊茗', '袁冰妍']",
老人与海,8.9,16930.0,https://movie.douban.com/subject/1302930/,1999-07-03(日本),"['高登·平森特', 'Kevin Duhaney', '松田洋治', '三国连太郎', '俄罗斯'",http://www.imdb.com/title/tt0207639
老千,7.4,13159.0,https://movie.douban.com/subject/1915180/,2006-09-28 00:00:00,"['曹承佑', '金惠秀', '白允植', '柳海真', '李水京']",http://www.imdb.com/title/tt0875025
老千2：神之手,7.1,17930.0,https://movie.douban.com/subject/10877413/,2014-09-03(韩国),"['崔胜铉', '申世京', '金允石', '柳海真', '李荷妮']",http://www.imdb.com/title/tt3402110
老友记第一季,9.6,113982.0,https://movie.douban.com/subject/1393859/,1994-09-22(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0108778
老友记第七季,9.7,31460.0,https://movie.douban.com/subject/3286547/,2000-10-12(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0756483
老友记第三季,9.7,36888.0,https://movie.douban.com/subject/3286531/,1996-09-16(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583634
老友记第九季,9.7,30153.0,https://movie.douban.com/subject/3286549/,2002-09-26(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583463
老友记第二季,9.7,41315.0,https://movie.douban.com/subject/3286528/,1995-09-21(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583562
老友记第五季,9.7,33665.0,https://movie.douban.com/subject/3286538/,1998-09-24(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583437
老友记第八季,9.7,30821.0,https://movie.douban.com/subject/3286548/,2001-09-27(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583435
老友记第六季,9.7,32859.0,https://movie.douban.com/subject/3286543/,1999-09-23(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583438
老友记第十季,9.8,38254.0,https://movie.douban.com/subject/3286552/,2003-09-25(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583436
老友记第四季,9.7,34998.0,https://movie.douban.com/subject/3286536/,1997-09-25(美国),"['詹妮弗·安妮斯顿', '柯特妮·考克斯', '丽莎·库卓', '马特·勒布朗', '马修·派瑞'",http://www.imdb.com/title/tt0583620
老大,8.6,33709.0,https://movie.douban.com/subject/3692611/,2009-04-16(日本),"['天海祐希', '竹野内丰', '户田惠梨香', '沟端淳平', '吉濑美智子']",http://www.imdb.com/title/tt1422234
老大2,8.2,17481.0,https://movie.douban.com/subject/5951228/,2011-04-14(日本),"['天海祐希', '竹野内丰', '户田惠梨香', '吉濑美智子', '玉山铁二']",http://www.imdb.com/title/tt1879198
老夫子2001,5.8,10786.0,https://movie.douban.com/subject/1295782/,2001-04-05 00:00:00,"['谢霆锋', '张柏芝', '黎耀祥', '陈惠敏', '张坚庭']",http://www.imdb.com/title/tt0199898
老妇人与死神,8,28827.0,https://movie.douban.com/subject/4158027/,Miguel Angel Perez,"['Eva Molina', '西班牙', 'www.theladyandthereaper.com",http://www.imdb.com/title/tt1523317
老师的恩惠,6.7,24354.0,https://movie.douban.com/subject/2054070/,2006-08-03(韩国),"['徐英姬', '吴美熙', '吕贤洙', '朴孝俊', '张诚源']",http://www.imdb.com/title/tt0870958
老房有喜,7.1,33429.0,https://movie.douban.com/subject/1786743/,1999-07-21(香港),"['赵薇', '苏有朋', '邰智源', '沈敏', '朱曼芳']",http://www.imdb.com/title/tt0456792
老手,7.5,28011.0,https://movie.douban.com/subject/25728010/,2015-08-05(韩国),"['黄政民', '刘亚仁', '柳海真', '吴达洙', '郑满植']",http://www.imdb.com/title/tt4768764
老无所依,8,113817.0,https://movie.douban.com/subject/1857099/,2007-05-19(戛纳电影节),"['2007-11-21(美国)', '汤米·李·琼斯', '哈维尔·巴登', '乔什·布洛林', ",http://www.imdb.com/title/tt0477348
老港正传,7.1,13348.0,https://movie.douban.com/subject/2080130/,2007-06-14(香港),"['2007-06-21(中国大陆)', '黄秋生', '郑中基', '毛舜筠', '莫文蔚']",http://www.imdb.com/title/tt1031942
老炮儿,8,360149.0,https://movie.douban.com/subject/24751756/,2015-09-09(威尼斯电影节),"['2015-12-24(中国大陆)', '冯小刚', '许晴', '张涵予', '刘桦']",http://www.imdb.com/title/tt4701702
老爷车,8.6,42979.0,https://movie.douban.com/subject/3026357/,2009-01-09(美国),"['克林特·伊斯特伍德', '约翰·卡洛·林奇', '科里·哈德里克', 'Geraldine Hu",http://www.imdb.com/title/tt1205489
老爸老妈的浪漫史第一季,8.8,37556.0,https://movie.douban.com/subject/1427818/,2005-09-19(美国),"['乔什·拉德诺', '杰森·席格尔', '艾丽森·汉妮根', '尼尔·帕特里克·哈里斯', '寇碧",http://www.imdb.com/title/tt0460649
老爸老妈的浪漫史第七季,9.1,14703.0,https://movie.douban.com/subject/6794391/,2011-09-19(美国),"['乔什·拉德诺', '尼尔·帕特里克·哈里斯', '杰森·席格尔', '寇碧·史莫德斯', '艾丽",http://www.imdb.com/title/tt1982341
老爸老妈的浪漫史第三季,9.1,19869.0,https://movie.douban.com/subject/2326226/,2007-09-24(美国),"['乔什·拉德诺', '尼尔·帕特里克·哈里斯', '艾丽森·汉妮根', '杰森·席格尔', '寇碧",http://www.imdb.com/title/tt1084790
老爸老妈的浪漫史第九季,8.4,13920.0,https://movie.douban.com/subject/20470240/,2013-09-23(美国),"['乔什·拉德诺', '尼尔·帕特里克·哈里斯', '杰森·席格尔', '寇碧·史莫德斯', '艾丽",http://www.imdb.com/title/tt2802532
老爸老妈的浪漫史第二季,9.1,21714.0,https://movie.douban.com/subject/2296025/,2006-09-18(美国),"['乔什·拉德诺', '尼尔·帕特里克·哈里斯', '艾丽森·汉妮根', '寇碧·史莫德斯', '杰",http://www.imdb.com/title/tt0863640
老爸老妈的浪漫史第五季,9,16946.0,https://movie.douban.com/subject/3990479/,2009-09-21(美国),"['乔什·拉德诺', '尼尔·帕特里克·哈里斯', '艾丽森·汉妮根', '杰森·席格尔', '寇碧",http://www.imdb.com/title/tt1491272
老爸老妈的浪漫史第八季,9,14470.0,https://movie.douban.com/subject/10563743/,2012-09-24(美国),"['乔什·拉德诺', '尼尔·帕特里克·哈里斯', '杰森·席格尔', '寇碧·史莫德斯', '艾丽",http://www.imdb.com/title/tt2252518
老爸老妈的浪漫史第六季,9.1,15579.0,https://movie.douban.com/subject/5262275/,2010-09-20(美国),"['尼尔·帕特里克·哈里斯', '寇碧·史莫德斯', '乔什·拉德诺', '杰森·席格尔', '艾丽",http://www.imdb.com/title/tt1701804
老爸老妈的浪漫史第四季,9,18389.0,https://movie.douban.com/subject/3222657/,2008-09-22(美国),"['乔什·拉德诺', '杰森·席格尔', '寇碧·史莫德斯', '尼尔·帕特里克·哈里斯', '艾丽",http://www.imdb.com/title/tt1256606
老狼请客,8.2,14702.0,https://movie.douban.com/subject/1431945/,1980(中国大陆),"['中国大陆', '阎善春', '10分钟', '动画', '短片']",
老男孩,8.2,126649.0,https://movie.douban.com/subject/1308865/,2003-11-21(韩国),"['崔岷植', '姜惠贞', '刘智泰', '池大韩', '吴达洙']",http://www.imdb.com/title/tt0364569
老男孩猛龙过江,5.7,93451.0,https://movie.douban.com/subject/25755645/,2014-07-10(中国大陆),"['肖央', '王太利', '屈菁菁', '郝凯瑞', '曲婉婷']",http://www.imdb.com/title/tt3872008
老笠,7.3,25338.0,https://movie.douban.com/subject/26352462/,2015-07-05(纽约亚洲电影节),"['2016-04-14(香港)', '郭伟亮', '林雪', '冯淬帆', '曾国祥']",http://www.imdb.com/title/tt4840096
老雷斯的故事,6.8,20180.0,https://movie.douban.com/subject/3893805/,2012-03-02(美国),"['2012-07-27(中国大陆)', '扎克·埃夫隆', '泰勒·斯威夫特', '丹尼·德维托'",http://www.imdb.com/title/tt1482459
老鼠爱上猫,5.5,41956.0,https://movie.douban.com/subject/1307849/,2003-02-14(香港),"['刘德华', '张柏芝', '李冰冰', '黄秋生', '张达明']",http://www.imdb.com/title/tt0366720
考死：血之期中考试,6.4,20702.0,https://movie.douban.com/subject/3150346/,2008-08-06(韩国),"['李凡秀', '南奎丽', '金汎', '尹晶喜', '孙云恩']",http://www.imdb.com/title/tt1438522
耐撕侦探,6.9,16041.0,https://movie.douban.com/subject/25917787/,2016-05-20(美国),"['罗素·克劳', '瑞恩·高斯林', '安格瑞·赖斯', '马特·波莫', '玛格丽特 库利']",http://www.imdb.com/title/tt3799694
耳朵大有福,7.6,14753.0,https://movie.douban.com/subject/2272222/,2008-01-04(中国大陆),"['范伟', '程树波', '张继波', '中国大陆', '韩国']",http://www.imdb.com/title/tt1978472
耶稣受难记,7.8,22192.0,https://movie.douban.com/subject/1308750/,2004-02-25(美国),"['2004-03-19(中国大陆)', '吉姆·卡维泽', '玛雅·摩根斯坦特', '克里斯托·日",http://www.imdb.com/title/tt0335345
聚焦,8.7,98722.0,https://movie.douban.com/subject/25954475/,2015-09-03(威尼斯电影节),"['2015-11-25(美国)', '马克·鲁弗洛', '迈克尔·基顿', '瑞秋·麦克亚当斯',",http://www.imdb.com/title/tt1895587
聪明的一休,8.6,52302.0,https://movie.douban.com/subject/1883755/,1975-10-15(日本),"['藤田淑子', '桂玲子', '野田圭一', '宮内幸平', '増山江威子']",http://www.imdb.com/title/tt1682200
肖申克的救赎,9.6,761604.0,https://movie.douban.com/subject/1292052/,1994-09-10(多伦多电影节),"['1994-10-14(美国)', '蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威",http://www.imdb.com/title/tt0111161
肚子痛的核电站君,7.8,25191.0,https://movie.douban.com/subject/6041194/,日本,"['4分33秒', '肚子痛的核电站君', '动画', '短片', '日语']",
肩上蝶,4.9,19641.0,https://movie.douban.com/subject/4166487/,2011-07-08(中国大陆),"['陈坤', '梁咏琪', '江一燕', '桂纶镁', '张之亮']",http://www.imdb.com/title/tt1990256
背水一战,6.8,28968.0,https://movie.douban.com/subject/4156402/,2013-01-18(美国),"['2013-10-24(中国大陆)', '阿诺·施瓦辛格', '罗德里格·桑托罗', '杰米·亚历",http://www.imdb.com/title/tt1549920
