genres,name,rating,ratingCount,imdb_link,评价人数_更新,评分_更新,index,电影名,评分,评价人数,链接,时间,演员
Crime Drama Mystery,Twin Peaks             ,8.8,14636,http://www.imdb.com/title/tt4093826,1320,8.3,7441,双峰,(尚未上映),,https://movie.douban.com/subject/26088510/,娜奥米·沃茨,"['劳拉·邓恩', '詹妮弗·杰森·李', '阿曼达·塞弗里德', '莫妮卡·贝鲁奇', '达纳·艾"
Animation Action Adventure,Kôdo giasu: Hangyaku no rurûshu             ,8.7,31560,http://www.imdb.com/title/tt1459086,40,7.8,7519,反叛的鲁路修特典：开始的前夜最后的延期,(评价人数不足),,https://movie.douban.com/subject/5167715/,2013-09-25 00:00:00,"['福山润', 'ゆかな', '水岛大宙', '大原沙耶香', '折笠富美子']"
Action Adventure Crime,Billionaire Ransom  ,5.4,1972,http://www.imdb.com/title/tt2782844,306,4.8,7534,反攻,(评价人数不足),,https://movie.douban.com/subject/25887257/,2016-08-19( 美国),"['杰瑞米·桑普特', '菲比·托金', '爱德·维斯特维克', '美国', '吉姆·格莱斯皮']"
Comedy Fantasy,Wished  ,6.5,13,http://www.imdb.com/title/tt3308358,14165,5.5,7545,反转人生,(尚未上映),,https://movie.douban.com/subject/25827741/,夏雨,"['闫妮', '潘斌龙', '宋茜', '宁静', '中国大陆']"
Animation,The Clockwork Girl  ,7.1,116,http://www.imdb.com/title/tt1290393,32,6.4,7555,发条女孩,(评价人数不足),,https://movie.douban.com/subject/3217159/,2014-01-12(加拿大),"['阿丽夏·维加', '凯瑞-安·莫斯', '加拿大', 'Kevin Konrad Hanna',"
Biography Drama,Inimi cicatrizate  ,7.2,441,http://www.imdb.com/title/tt5204020,63,6.9,7576,受伤的心,(评价人数不足),,https://movie.douban.com/subject/26678629/,2016-08(洛迦诺电影节),"['Ilinca Harnut', 'Lucian Teodor Rus', '罗马尼亚', '德国"
Action Adventure Sci-Fi,Transformers: The Last Knight  ,5.3,35670,http://www.imdb.com/title/tt3371366,96368,4.9,7599,变形金刚5：最后的骑士,(尚未上映),,https://movie.douban.com/subject/25824686/,2017-06-23(美国),"['马克·沃尔伯格', '彼特·库伦', '伊莎贝拉·莫奈', '乔什·杜哈明', '泰瑞斯·吉布森"
Horror,Psycho Holocaust  ,5.0,88,http://www.imdb.com/title/tt1063103,41,5.0,7618,变态屠杀,(评价人数不足),,https://movie.douban.com/subject/3894562/,Raine Brown,"['Trent Haaga', 'Vanelle', 'Billy Garberina', 'Cha"
Horror Thriller,Transamerican Killer  ,3.3,328,http://www.imdb.com/title/tt0306148,25,4.3,7626,变性杀手,(评价人数不足),,https://movie.douban.com/subject/3908578/,Alixandra Agar,"['Jennifer Autry', 'Cara Jo Basso', 'Eric Bishop',"
Comedy,Chewing Gum             ,7.8,3033,http://www.imdb.com/title/tt5097050,108,8.4,7689,口香糖第一季,(评价人数不足),,https://movie.douban.com/subject/26657486/,2015-10-07 00:00:00,"['Michaela Coel', 'Robert Lonsdale', 'Danielle Wal"
Short Action Adventure,Croft  ,7.6,166,http://www.imdb.com/title/tt3027378,44,5.4,7709,古墓丽影:劳拉大绝杀,(评价人数不足),,https://movie.douban.com/subject/26804780/,Cassandra Ebner,"['Liam Carter', 'Devyn Dalton', '加拿大', 'Trevor Add"
Documentary,"Mothers, Murderers and Mistresses: Empresses of Ancient Rome             ",7.0,32,http://www.imdb.com/title/tt2991806,26,7.6,7762,古罗马的女王们,(评价人数不足),,https://movie.douban.com/subject/24839119/,Catharine Edwards,"['英国', '', '59mins', '古罗马的女王们', '纪录片']"
Documentary Biography Music,Eat That Question: Frank Zappa in His Own Words  ,7.4,750,http://www.imdb.com/title/tt5275830,44,8.2,7928,吃掉那个问题,(评价人数不足),,https://movie.douban.com/subject/26681641/,2016-06-24(美国),"['法国', '德国', 'Thorsten Schütte', '吃掉那个问题', '纪录片']"
Comedy Drama Romance,Hap joek nam nui  ,4.9,52,http://www.imdb.com/title/tt6518634,8737,4.4,7952,合约男女,(尚未上映),,https://movie.douban.com/subject/26425081/,2017-02-14(中国大陆),"['郑秀文', '张孝全', '林雪', '冯文娟', '弦子']"
Documentary Biography,Jim: The James Foley Story  ,7.7,1004,http://www.imdb.com/title/tt5278466,23,9.1,7957,吉姆：詹姆斯·弗利传,(评价人数不足),,https://movie.douban.com/subject/26679119/,2016-01-19 00:00:00,"['Diane Foley', 'James Foley', 'John Foley', 'Mich"
Comedy Drama Romance,Tung lau hap woo  ,5.2,91,http://www.imdb.com/title/tt5227660,949,3.9,8024,同流合乌,(评价人数不足),,https://movie.douban.com/subject/26271105/,2016-01-16(日本),"['2016-08-05(台湾)', '贺飞', '周德邦', '钱靖雯', '王雨泓']"
Adventure Reality-TV,President Barack Obama             ,7.3,60,http://www.imdb.com/title/tt5006362,59,7.1,8045,名人荒野求生：奥巴马特辑,(评价人数不足),,https://movie.douban.com/subject/26882333/,17 December 2015 (USA),"['贝尔·格里尔斯', '巴拉克·奥巴马', '美国', '42分', '名人荒野求生：奥巴马特辑'"
Animation,Meitantei Conan: Karakurenai no raburetâ  ,7.3,113,http://www.imdb.com/title/tt5692622,534,7.7,8072,名侦探柯南：唐红的恋歌,(尚未上映),,https://movie.douban.com/subject/26788667/,2017-04-15(日本),"['高山南', '堀川亮', '宫村优子', '山口胜平', '日本']"
Documentary,Apocalypse: Staline             ,8.0,194,http://www.imdb.com/title/tt5287808,29,8.0,8199,启示录：斯大林,(目前无 ),,https://movie.douban.com/subject/26919094/,马修·卡索维茨,"['Doug Rand', '法国', '52分钟 (Extra: 21分钟)', '启示录：斯大林"
Horror,Thralls  ,4.1,603,http://www.imdb.com/title/tt0404496,27,4.2,8211,吸血美女,(评价人数不足),,https://movie.douban.com/subject/1452849/,2005-03-22 00:00:00,"['加拿大', 'Ron Oliver', '吸血美女', '恐怖', '英语']"
Crime Mystery Thriller,"Kiss Me, Kill Me  ",4.5,148,http://www.imdb.com/title/tt3912214,55,5.8,8261,吻着我，杀了我,(评价人数不足),,https://movie.douban.com/subject/25975301/,2015-09-19(美国),"['葛尔·哈罗德', 'Willam Belli', '马修·路德文斯基', '尤隆达·罗斯', '"
Comedy,Secret Fantasy  ,6.4,287,http://www.imdb.com/title/tt0067422,37,7.0,8266,吾妻正斗(港),(评价人数不足),,https://movie.douban.com/subject/4197201/,Laura Antonelli,"['意大利', 'Pasquale Festa Campanile', '110 分钟', '吾妻正"
Animation Comedy Drama,Suki ni naru sono shunkan o.: Kokuhaku jikkou iinkai  ,5.9,34,http://www.imdb.com/title/tt6327570,135,7.0,8291,告白实行委员会：喜欢上你的那个瞬间,(评价人数不足),,https://movie.douban.com/subject/26887103/,2016-12-17(日本),"['麻仓桃', '花江夏树', '代永翼', '细谷佳正', '松冈祯丞']"
Animation,Fate/Grand Order: First Order  ,6.4,78,http://www.imdb.com/title/tt6213810,1146,6.4,8364,命运冠位指定序章,(尚未上映),,https://movie.douban.com/subject/26906538/,2016-12-31 00:00:00,"['岛崎信长', '高桥李依', '川澄绫子', '米泽圆', '铃村健一']"
Drama Mystery Thriller,The Dinner  ,4.8,1450,http://www.imdb.com/title/tt3203620,71,6.0,8367,命运晚餐,(尚未上映),,https://movie.douban.com/subject/25732071/,劳拉·琳妮,"['理查·基尔', '史蒂夫·库根', '丽贝卡·豪尔', '查理·普拉默', '美国']"
Drama Romance,Kimi to 100-kaime no koi  ,6.9,102,http://www.imdb.com/title/tt5614984,11350,6.4,8383,和你的第100次恋爱,(尚未上映),,https://movie.douban.com/subject/26766760/,2017-02-04(日本),"['miwa', '坂口健太郎', '龙星凉', '真野惠里菜', '泉泽祐希']"
Animation,Doraemon: Great Adventure in the Antarctic Kachi Kochi  ,7.7,59,http://www.imdb.com/title/tt5912470,9662,6.6,8465,哆啦A梦：大雄的南极冰寒大冒险,(尚未上映),,https://movie.douban.com/subject/26839466/,2017-03-04(日本),"['水田山葵', '大原惠美', '嘉数由美', '木村昂', '关智一']"
Drama Musical,Hallelujah  ,7.0,1213,http://www.imdb.com/title/tt0019959,34,7.5,8500,哈利路亚,(评价人数不足),,https://movie.douban.com/subject/1422906/,1929-08-20 00:00:00,"['美国', '金 维多 (King Vidor)', '109 分钟', 'USA: 100 分钟"
Comedy,The Comedian  ,5.7,3088,http://www.imdb.com/title/tt1967614,77,6.2,8705,喜剧人,(评价人数不足),,https://movie.douban.com/subject/6875271/,2016-11-11(AFI电影节),"['2017-02-03(美国)', '罗伯特·德尼罗', '莱斯利·曼恩', '丹尼·德维托', "
Comedy,VIP             ,7.2,135,http://www.imdb.com/title/tt5530730,101,8.1,8715,喜新不厌旧第三季,(评价人数不足),,https://movie.douban.com/subject/26740382/,2016-09-21(美国),"['雅拉·沙希迪', '安东尼·安德森', '特雷西·埃利斯·罗斯', '杰夫·米查姆', '迈尔斯"
Documentary Family,The Himalayas             ,8.7,28,http://www.imdb.com/title/tt1799352,34,7.9,8747,喜马拉雅山脉,(评价人数不足),,https://movie.douban.com/subject/22894993/,2011-02-13(美国),"['美国', '喜马拉雅山脉', '纪录片', '英语']"
Drama,Quartet             ,8.1,149,http://www.imdb.com/title/tt6287398,67713,9.1,8876,四重奏,(尚未上映),,https://movie.douban.com/subject/26895171/,2017-01,"['松隆子', '满岛光', '高桥一生', '松田龙平', '吉冈里帆']"
Documentary,Kubrick Remembered  ,7.5,95,http://www.imdb.com/title/tt4015630,42,8.1,8907,回忆库布里克,(评价人数不足),,https://movie.douban.com/subject/26284658/,2014-11-4(英美),"['米兰拉·坎农诺', '文森特·多诺费奥', '李·厄米', 'Jan Harlan', 'Kat"
Action,He Who Dares: Downing Street Siege  ,2.6,497,http://www.imdb.com/title/tt3640272,32,2.9,8977,围攻唐宁街,(评价人数不足),,https://movie.douban.com/subject/26275741/,英国,"['Paul Tanter', '围攻唐宁街']"
Crime Drama Mystery,Fair Game             ,7.2,1331,http://www.imdb.com/title/tt5261748,7108,8.8,8990,国土安全第六季,(尚未上映),,https://movie.douban.com/subject/26684329/,2017-01-15(美国),"['克莱尔·丹妮丝', '鲁伯特·弗兰德', '曼迪·帕廷金', '罗伯特·克耐普', '伊丽莎白·"
Documentary,Abacus: Small Enough to Jail  ,7.9,138,http://www.imdb.com/title/tt5952382,74,8.7,8998,国宝银行：小到可以进监狱,(评价人数不足),,https://movie.douban.com/subject/26857694/,2016-09(加拿大),"['2016-10-06(美国)', 'Neil Barofsky', 'Ti-Hua Chang'"
Biography Drama History,Kongens nei  ,7.4,2511,http://www.imdb.com/title/tt4353996,1564,7.2,9057,国王的选择,(评价人数不足),,https://movie.douban.com/subject/26596704/,2016-09-23(挪威),"['加斯帕·克里斯滕森', '安德斯·巴斯莫·克里斯蒂安森', 'Anders Vegdal Bje"
Action Adventure Comedy,And the Rise of Chaos             ,8.2,259,http://www.imdb.com/title/tt5275066,90,7.0,9070,图书馆员第三季,(评价人数不足),,https://movie.douban.com/subject/26687517/,2016-11-20(美国),"['克里斯蒂安·凯恩', '林蒂·布丝', '约翰·哈伦·金', '丽贝卡·罗梅恩', '约翰·拉尔"
Drama Sci-Fi Thriller,The Circle  ,5.3,19477,http://www.imdb.com/title/tt4287320,1228,5.1,9082,圆圈,(尚未上映),,https://movie.douban.com/subject/26284593/,2017-04-28(美国),"['汤姆·汉克斯', '艾玛·沃森', '约翰·博耶加', '凯伦·吉兰', '埃拉·科尔特兰']"
Biography,Satoshi no seishun  ,6.3,103,http://www.imdb.com/title/tt4818662,1425,7.4,9120,圣之青春,(评价人数不足),,https://movie.douban.com/subject/26429841/,2016-11-19(日本),"['松山研一', '东出昌大', '染谷将太', '安田显', '柄本时生']"
Documentary,Der heilige Krieg             ,6.4,16,http://www.imdb.com/title/tt2016445,35,8.6,9142,圣战,(评价人数不足),,https://movie.douban.com/subject/26725022/,2011-08-16 00:00:00,"['德国', 'Christian Twente', '43分钟', '圣战', '历史']"
Documentary,Bible Hunters             ,7.7,36,http://www.imdb.com/title/tt3552332,33,8.8,9176,圣经捕手,(评价人数不足),,https://movie.douban.com/subject/26671438/,2014-02-13(英国),"['Jeff Rose', 'Angus King', '英国', 'www.bbc.co.uk/p"
Comedy Music,A Christmas Melody  ,6.2,786,http://www.imdb.com/title/tt4587740,46,6.5,9202,圣诞旋律,(评价人数不足),,https://movie.douban.com/subject/26362296/,2015-12-18(美国),"['莱西·沙伯特', '凯文·张伯伦', '布伦南·埃利奥特', 'David Pittinger'"
Comedy Drama Family,Christmas Mail  ,5.8,958,http://www.imdb.com/title/tt1663628,25,6.2,9204,圣诞来信,(评价人数不足),,https://movie.douban.com/subject/5151346/,Rolonda Watts,"['凡妮莎·李·艾维甘', '艾什莉·斯科特 Ashley Scott', 'Mimi Cozzen"
Drama Horror Mystery,The Killing of a Sacred Deer  ,8.3,455,http://www.imdb.com/title/tt5715874,70,6.6,9228,圣鹿之死,(尚未上映),,https://movie.douban.com/subject/26724989/,科林·法瑞尔,"['妮可·基德曼', '艾丽西亚·希尔维斯通', '英国', '美国', '欧格斯·兰斯莫斯']"
Comedy Drama,The Meyerowitz Stories (New and Selected)  ,7.5,218,http://www.imdb.com/title/tt5536736,54,6.2,9250,在印度的日子,(尚未上映),,https://movie.douban.com/subject/26743601/,达斯汀·霍夫曼,"['本·斯蒂勒', '亚当·桑德勒', '艾玛·汤普森', '伊丽莎白·玛维尔', '坎迪斯·伯根'"
Drama Mystery,Before I Fall  ,6.4,16376,http://www.imdb.com/title/tt1691916,3613,6.4,9269,在我坠落前,(尚未上映),,https://movie.douban.com/subject/5327217/,2017-04-07(美国),"['佐伊·达奇', '豪斯顿·塞奇', '迪耶戈·博内塔', '洛根·米勒', '埃莱娜·康博里斯'"
Comedy Drama Horror,Der Bunker  ,6.2,992,http://www.imdb.com/title/tt2847438,44,7.0,9317,地下室,(评价人数不足),,https://movie.douban.com/subject/25857870/,2015-02(柏林电影节),"['2016-01-27(德国)', '皮特·布考斯基', 'Daniel Fripan', 'Oo"
Action Sci-Fi Thriller,The Underneath  ,2.8,307,http://www.imdb.com/title/tt2207778,37,2.6,9325,地下惊魂,(评价人数不足),,https://movie.douban.com/subject/25800130/,2013-12,"['霍尔特·鲍格斯', 'Bryan Chatlien', 'Larry Jack Dotson',"
Crime,Chikatetsu renzoku reipu  ,7.1,38,http://www.imdb.com/title/tt0287957,395,5.8,9331,地下铁连环强奸案,(评价人数不足),,https://movie.douban.com/subject/2134326/,1985-05-22 00:00:00,"['藤村真美', '下元史朗', '大杉漣', '日本', '片岡修二']"
Documentary,E-Cigarettes: Miracle or Menace?             ,7.2,11,http://www.imdb.com/title/tt5766658,39,7.8,9347,地平线系列之电子烟：奇迹还是威胁,(评价人数不足),,https://movie.douban.com/subject/26810830/,2016-05-22 00:00:00,"['Michael J. Mosley', '英国', 'www.bbc.co.uk/program"
Documentary,The Wildest Weather in the Universe             ,6.8,12,http://www.imdb.com/title/tt6199436,45,7.9,9360,地平线系列：宇宙中最狂野的天气,(评价人数不足),,https://movie.douban.com/subject/26903954/,2016-10-23(英国),"['英国', '60分钟', '地平线系列：宇宙中最狂野的天气', '纪录片', '英语']"
Short Horror Mystery,Selfie from Hell  ,6.4,73,http://www.imdb.com/title/tt5253246,69,6.3,9434,地狱自拍照,(评价人数不足),,https://movie.douban.com/subject/26810035/,Meelah Adams,"['Sascha Hoff', '德国', 'Erdal Ceylan', '2分钟', '地狱自拍"
Documentary,24 Hours on Earth  ,7.2,26,http://www.imdb.com/title/tt3682608,35,8.3,9445,地球一日,(评价人数不足),,https://movie.douban.com/subject/25871663/,Matthew Macfadyen,"['英国', '60 min', '地球一日', '纪录片', '英语']"
Drama Mystery Sci-Fi,Echoes             ,7.8,2312,http://www.imdb.com/title/tt5540928,462,8.1,9477,地球百子第四季,(尚未上映),,https://movie.douban.com/subject/26749052/,2017-02-01(美国),"['玛莉·艾格洛蒲露丝', '戴文·博斯蒂克', '亨利·伊安·库斯克', 'Christopher"
Animation Short,Mrs. Metro  ,7.1,10,http://www.imdb.com/title/tt6040784,151,6.4,9500,地铁女士,(评价人数不足),,https://movie.douban.com/subject/26896900/,2016-08-05 00:00:00,"['澳大利亚', 'Aggelos Papantoniou', '4:22分钟', '地铁女士', "
Thriller War,Mine  ,6.0,7529,http://www.imdb.com/title/tt3707104,1307,5.6,9505,地雷险区,(评价人数不足),,https://movie.douban.com/subject/26600428/,2016-10-06(意大利),"['阿米·汉莫', '安娜贝拉·沃丽丝', '汤姆·库伦', '朱丽叶特·奥布瑞', '杰夫·贝尔'"
Documentary,Fraude: Por qué la gran recesión  ,8.0,11,http://www.imdb.com/title/tt2269222,31,8.8,9552,坑爹：金融危机真相,(评价人数不足),,https://movie.douban.com/subject/25782562/,Jesus Huerta de Soto,"['Philipp Bagus', 'Juan Ramón Rallo', '西班牙', '英国',"
Drama Romance,The Falls: Covenant of Grace  ,7.1,217,http://www.imdb.com/title/tt6048582,81,7.2,9562,坠落：恩典之约,(评价人数不足),,https://movie.douban.com/subject/26881594/,2016-12-06(美国),"['尼克·费鲁奇', 'Benjamin Farmer', 'Curtis Edward Jacks"
Biography Drama,Egon Schiele: Tod und Mädchen  ,6.6,264,http://www.imdb.com/title/tt4558396,741,7.5,9589,埃贡·席勒：死神和少女,(评价人数不足),,https://movie.douban.com/subject/26421474/,Noah Saavedra,"['Maresi Riegner', 'Valerie Pachner', '托马斯·舒伯特', '"
Comedy,Chapter Forty-Five             ,8.6,118,http://www.imdb.com/title/tt5540914,73,8.2,9765,处女情缘第三季,(评价人数不足),,https://movie.douban.com/subject/26749125/,2016-10-17(美国),"['美国', '处女情缘', '处女情缘', '喜剧']"
Mystery,Edge of Innocence  ,7.4,61,http://www.imdb.com/title/tt5801026,5002,4.8,9816,夏天十九岁的肖像,(尚未上映),,https://movie.douban.com/subject/26677981/,黄子韬,"['杨采钰', '杜天皓', '李梦', '柯淑勤', '戴立忍']"
Drama Mystery Thriller,Late Summer  ,5.2,230,http://www.imdb.com/title/tt4182064,35,6.0,9865,夏末,(评价人数不足),,https://movie.douban.com/subject/26717491/,Bente Børsum,"['Rolf Kristian Larsen', 'Heidi Toini', 'Christian"
Documentary Drama,Foreign Parts  ,6.7,122,http://www.imdb.com/title/tt1700810,24,7.5,9922,外来零件,(评价人数不足),,https://movie.douban.com/subject/5323540/,2010-10-10 00:00:00,"['美国', '法国', '维瑞娜·帕拉韦尔', '史杰鹏', '80分钟']"
Drama Family,Dolly Parton's Christmas of Many Colors: Circle of Love  ,8.2,502,http://www.imdb.com/title/tt5713426,59,6.2,9942,多莉·巴顿的七彩圣诞:爱之圣环,(评价人数不足),,https://movie.douban.com/subject/26942885/,2016-11-30 00:00:00,"['杰拉尔德·麦克雷尼', 'Gerald McRaney', 'Alyvia Alyn Lind'"
Crime Drama,Live by Night  ,6.4,31932,http://www.imdb.com/title/tt2361317,3780,6.4,10001,夜色人生,(尚未上映),,https://movie.douban.com/subject/10752547/,2017-01-13(美国),"['本·阿弗莱克', '佐伊·索尔达娜', '西耶娜·米勒', '艾丽·范宁', '斯科特·伊斯特伍"
Drama Horror Thriller,The Nightcomers  ,6.1,1438,http://www.imdb.com/title/tt0069007,38,6.5,10005,夜行人,(评价人数不足),,https://movie.douban.com/subject/1294956/,1973-11-24 00:00:00,"['马龙·白兰度', '斯蒂法妮·比彻姆', '英国', '迈克尔·温纳', '96 分钟']"
Crime Drama Mystery,Big Little Lies             ,8.7,37265,http://www.imdb.com/title/tt3920596,20361,8.9,10210,大小谎言,(尚未上映),,https://movie.douban.com/subject/25953429/,2017-02-19 00:00:00,"['妮可·基德曼', '瑞茜·威瑟斯彭', '谢琳·伍德蕾', '劳拉·邓恩', '亚历山大·斯卡斯"
Drama,Show Me Your Love  ,7.1,8,http://www.imdb.com/title/tt6405384,46,7.6,10234,大手牽小手,(评价人数不足),,https://movie.douban.com/subject/26712235/,2016-11-24(香港),"['鲍起静', '黄浩然', '王菀之', '诗雅', '李枫']"
Animation Action Fantasy,Da Hu Fa  ,7.5,60,http://www.imdb.com/title/tt7146054,70547,8.1,10236,大护法之黑花生,(尚未上映),,https://movie.douban.com/subject/26811587/,大护法,"['小姜', '太子', '中国大陆', '不思凡', '113分钟']"
Drama History,Da Qin Di Guo             ,7.9,19,http://www.imdb.com/title/tt5537556,20876,8.5,10328,大秦帝国之崛起,(尚未上映),,https://movie.douban.com/subject/5923466/,2018(中国大陆),"['宁静', '张博', '宁露', '邢佳栋', '中国大陆']"
Documentary Comedy Drama,Focus Pocus             ,7.6,47,http://www.imdb.com/title/tt2808208,28,9.3,10351,大脑游戏第二季,(评价人数不足),,https://movie.douban.com/subject/26284088/,美国,"['Trey Nelson', '大脑游戏', '大脑游戏', '纪录片', '英语']"
Comedy,At School             ,6.6,8,http://www.imdb.com/title/tt5689594,27,9.0,10369,大英烦事多第二季,(评价人数不足),,https://movie.douban.com/subject/26888729/,2016-05-09(英国),"['朱丽·沃特斯', 'Grace Dent', 'Josh Widdicombe', 'Alex "
Action Comedy,Buddies in India  ,3.9,130,http://www.imdb.com/title/tt6152908,60108,3.8,10435,大闹天竺,(尚未上映),,https://movie.douban.com/subject/26389696/,2017-01-28(中国大陆),"['王宝强', '白客', '岳云鹏', '柳岩', '中国大陆']"
Action Comedy,Raid dingue  ,5.3,760,http://www.imdb.com/title/tt5736696,115,6.6,10529,天兵女特警,(尚未上映),,https://movie.douban.com/subject/26811367/,丹尼·伯恩,"['爱丽丝·波尔', '米歇尔·布朗', '伊万·阿达勒', '帕特里克·米勒', '法国']"
Drama,Gifted  ,7.7,23491,http://www.imdb.com/title/tt4481414,26346,8.1,10625,天才少女,(尚未上映),,https://movie.douban.com/subject/26593587/,2017-04-12(美国),"['克里斯·埃文斯', '珍妮·斯蕾特', '奥克塔维亚·斯宾瑟', '琳赛·邓肯', '麦肯娜·格"
Animation Comedy,Otenki Onee-san             ,6.1,56,http://www.imdb.com/title/tt0266035,26,5.6,10653,天气女郎,(评价人数不足),,https://movie.douban.com/subject/4930633/,1995-06-01 00:00:00,"['松本梨香', '根谷美智子', '三木眞一郎', '林延年', '日本']"
Horror,Shi mian  ,7.5,50,http://www.imdb.com/title/tt6754750,136,6.2,10908,失眠,(尚未上映),,https://movie.douban.com/subject/26748223/,林家栋,"['黄秋生', '香港', '邱礼涛', '失眠', '历史']"
Drama Music Romance,Song to Song  ,6.0,5867,http://www.imdb.com/title/tt2062700,3145,5.6,10939,失重,(尚未上映),,https://movie.douban.com/subject/6854414/,2017-03-17(美国),"['瑞恩·高斯林', '克里斯蒂安·贝尔', '凯特·布兰切特', '鲁妮·玛拉', '海莉·贝内特"
,Lai xin sha zhan  ,5.8,15,http://www.imdb.com/title/tt0121460,32,6.3,10968,夹心沙展,(评价人数不足),,https://movie.douban.com/subject/2147433/,馮粹帆,"['黃錦燊', '李殿朗', '香港', '巴山', '92分钟']"
Drama,Kiseki: Anohi no sobito  ,6.9,50,http://www.imdb.com/title/tt5778092,3966,7.5,11076,奇迹，那天如此重要,(尚未上映),,https://movie.douban.com/subject/26809007/,2017-01-28(日本),"['松坂桃李', '菅田将晖', '忽那汐里', '平祐奈', '横浜流星']"
Animation Adventure Comedy,Ozzy  ,5.2,942,http://www.imdb.com/title/tt5770430,98,7.0,11118,奥兹,(评价人数不足),,https://movie.douban.com/subject/26909507/,2016-10-14(西班牙),"['吉尔勒莫罗梅罗 Guillermo Romero', '丹尼·罗维拉 Dani Rovira',"
Drama Romance Thriller,Yeo-gyo-sa  ,6.4,58,http://www.imdb.com/title/tt6302006,3015,5.6,11281,女教师,(尚未上映),,https://movie.douban.com/subject/26392843/,2017-01-04(韩国),"['金荷娜', '李源根', '刘仁英 ', '韩国', '金泰泳']"
Documentary History,She's Beautiful When She's Angry  ,7.8,860,http://www.imdb.com/title/tt3319508,82,8.8,11385,她在愤怒时最美,(评价人数不足),,https://movie.douban.com/subject/26200629/,Chude Pamela Allen,"['Heather Booth', '美国', 'Mary Dore', '92分钟', '她在愤怒"
Comedy,Good Kids  ,6.1,4675,http://www.imdb.com/title/tt2170427,94,5.6,11422,好孩子,(评价人数不足),,https://movie.douban.com/subject/24325868/,2016-10-21(美国),"['佐伊·达奇', '艾什莉·贾德', '朱莉娅·加纳', '凯文·查普曼', '维吉尼亚·加德纳'"
Documentary History,"AFI's 100 Years... 100 Movie Quotes: America's Greatest Quips, Comebacks and Catchphrases  ",7.7,198,http://www.imdb.com/title/tt0466642,25,8.9,11471,好莱坞百年百句经典电影台词,(评价人数不足),,https://movie.douban.com/subject/2159085/,2005-06-21 00:00:00,"['Elayne Boosler', '詹姆斯·布洛林', '卡梅伦·克罗', 'USA', 'Ga"
Comedy Drama Romance,Subject to Change             ,8.8,94,http://www.imdb.com/title/tt4328764,35,8.0,11493,如有变更,(评价人数不足),,https://movie.douban.com/subject/26351059/,AIDEN DEBONO,"['MARYANN WRIGHT', 'KATY AVERY', '澳大利亚', 'DANIEL M"
Drama,The King of Romance             ,8.7,7,http://www.imdb.com/title/tt6413506,1686,7.7,11494,如朕亲临,(评价人数不足),,https://movie.douban.com/subject/26907458/,2016-12-03(台湾),"['李国毅', '连俞涵', '蓝钧天', '房思瑜', '范宸菲']"
Drama,Maman a tort  ,6.5,54,http://www.imdb.com/title/tt5141494,113,6.7,11568,妈妈错了,(评价人数不足),,https://movie.douban.com/subject/26712129/,2016-11-09(法国),"['艾米莉·德奎恩', '萨巴纳·奥扎尼', 'Audrey Quoturi', 'Grégoire"
Thriller,Stealing Candy  ,4.3,535,http://www.imdb.com/title/tt0324071,34,5.7,11622,妙贼计划,(评价人数不足),,https://movie.douban.com/subject/1420027/,2003-05-15 00:00:00,"['Daniel Baldwin', 'Coolio', 'Alex McArthur', 'Jen"
Animation Comedy Family,The Boss Baby  ,6.4,40772,http://www.imdb.com/title/tt3874544,13813,7.3,11692,娃娃老板,(尚未上映),,https://movie.douban.com/subject/25907029/,2017-03-31(美国),"['亚历克·鲍德温', '托比·马奎尔', '丽莎·库卓', '吉米·坎摩尔', '史蒂夫·布西密'"
Action Crime Music,Baby Driver  ,8.3,59117,http://www.imdb.com/title/tt3890160,1742,7.8,11693,娃娃脸司机,(尚未上映),,https://movie.douban.com/subject/25933890/,2017-08-11(美国),"['莉莉·詹姆斯', '凯文·史派西', '乔·博恩瑟', '乔恩·哈姆', '杰米·福克斯']"
Comedy Drama,Table 19  ,5.8,8147,http://www.imdb.com/title/tt1412528,1143,6.1,11735,婚宴桌牌19号,(尚未上映),,https://movie.douban.com/subject/3656884/,2017-03-03(美国),"['安娜·肯德里克', '阿曼达·克鲁', '丽莎·库卓', '怀亚特·罗素', '托尼·雷沃罗利'"
Documentary,Alphabet  ,7.5,676,http://www.imdb.com/title/tt3215346,27,7.5,11798,字母表,(评价人数不足),,https://movie.douban.com/subject/25732244/,2013-10,"['Ken Robinson', 'Yang Dongping', 'Andreas Schleic"
Action Sci-Fi,Lone Wolves  ,3.1,23,http://www.imdb.com/title/tt4982252,63,2.7,11849,孤狼,(评价人数不足),,https://movie.douban.com/subject/26936215/,2016-12-13 00:00:00,"['Dan Purdey', 'Warren Otteraa', 'Alana Tranter', "
Drama History Romance,General and I             ,7.3,63,http://www.imdb.com/title/tt6424812,45832,3.1,11857,孤芳不自赏,(尚未上映),,https://movie.douban.com/subject/26608228/,2017-01-03(中国大陆),"['钟汉良', '杨颖', '甘婷婷', '孙艺洲', '亓航']"
Animation Action Comedy,Super Watermelon Island             ,9.1,516,http://www.imdb.com/title/tt5690968,78,9.6,11932,宇宙小子第三季,(评价人数不足),,https://movie.douban.com/subject/26794222/,2016-05-12 00:00:00,"['Zach Callison', 'Deedee Magno', 'Estelle Swaray'"
