imdb_link,评价人数_更新,评分_更新,index,电影名,评分,评价人数,链接,时间,演员
,,,10401,大象永不忘记,(评价人数不足),,https://movie.douban.com/subject/10459724/,英国,"['John Krish', '11分钟', '大象永不忘记', '纪录片', '英语']"
,,,10407,大贵族：回醒,(评价人数不足),,https://movie.douban.com/subject/26770105/,2016-02-04 00:00:00,"['新垣樽助', '平川大辅', '畠中祐', '日本', '松澤建一']"
,,,10413,大轰炸,(尚未上映),,https://movie.douban.com/subject/26331700/,刘烨,"['布鲁斯·威利斯', '宋承宪', '艾德里安·布洛迪', '黄圣依', '谢霆锋']"
,,,10420,大逃狱,(评价人数不足),,https://movie.douban.com/subject/1865621/,1970-11-04 00:00:00,"['Kirk Douglas', 'Henry Fonda', 'Hume Cronyn', 'Wa"
,,,10426,大野一雄·美與力量,(评价人数不足),,https://movie.douban.com/subject/6506114/,2002-03-08 00:00:00,"['大野一雄', '日本', 'ＮＨＫソフトウェア', '110 分', '大野一雄·美與力量']"
,,,10427,大野一雄和O先生的肖像,(评价人数不足),,https://movie.douban.com/subject/25710916/,2004-10-27 00:00:00,"['大野一雄', '大野チエ', '日本', '長野千秋', '丹尼尔·施密德']"
,,,10432,大闹东海,(尚未上映),,https://movie.douban.com/subject/26617264/,吴磊,"['张丰毅', '姜潮', '安志杰', '赵文瑄', '杨紫琼']"
,60108,3.8,10435,大闹天竺,(尚未上映),,https://movie.douban.com/subject/26389696/,2017-01-28(中国大陆),"['王宝强', '白客', '岳云鹏', '柳岩', '中国大陆']"
,,,10449,大骗局,(评价人数不足),,https://movie.douban.com/subject/25822415/,2014-03-21 00:00:00,"['Pulkit Samrat', '阿努潘·凯尔', '萨拉·简·迪亚斯', '萨尔曼·汗', '"
,,,10454,大鸟在中国,(评价人数不足),,https://movie.douban.com/subject/3223178/,欧阳莲子,"['Caroll Spinney', 'Brian Muehl', '美国', 'Jon Stone"
,,,10455,大鸟笼,(评价人数不足),,https://movie.douban.com/subject/2129664/,Pam Grier,"['Anitra Ford', 'Sid Haig', '菲律宾', '美国', 'Jack Hil"
,,,10457,大麻合法化推动者的故事,(评价人数不足),,https://movie.douban.com/subject/10466320/,Russ Belville,"['Dominic Corva', 'Tonya Davis', '美国', 'Rod Pitman"
,,,10491,天体部落,(评价人数不足),,https://movie.douban.com/subject/2054493/,2007-04-25 00:00:00,"['英国', 'Jamie Morgan', '天体部落', '英语']"
,,,10494,天使不在此沉睡,(评价人数不足),,https://movie.douban.com/subject/3140373/,2003-09-12 00:00:00,"['Dana Ashbrook', 'Kelly Rutherford', 'Roy Scheide"
,,,10513,天使特警剧场版泛滥篇,(评价人数不足),,https://movie.douban.com/subject/6858763/,2007-06-23 00:00:00,"['永田亮子', '平野綾', '日本', '後藤圭二', '80分']"
,,,10514,天使特警剧场版第三部,(评价人数不足),,https://movie.douban.com/subject/6858764/,2007-09-01 00:00:00,"['永田亮子', '平野綾', '水橋かおり', '日本', '後藤圭二']"
,115,6.6,10529,天兵女特警,(尚未上映),,https://movie.douban.com/subject/26811367/,丹尼·伯恩,"['爱丽丝·波尔', '米歇尔·布朗', '伊万·阿达勒', '帕特里克·米勒', '法国']"
,,,10564,天地魔术,(评价人数不足),,https://movie.douban.com/subject/2031315/,美国,"['Harry Smith', '66 分钟', '天地魔术', '动画', '英语']"
,,,10567,天堂七分钟,(评价人数不足),,https://movie.douban.com/subject/1916419/,1985-05-09 00:00:00,"['Jennifer Connelly', '美国', 'Linda Feferman', '88 "
,,,10586,天堂的夜与雾,(评价人数不足),,https://movie.douban.com/subject/26598907/,王兵,"['韩国', '郑圣一', '235分钟', '天堂的夜与雾', '纪录片']"
,,,10596,天外来信,(评价人数不足),,https://movie.douban.com/subject/2269870/,1978-09-22 00:00:00,"['千叶真一', '丹波哲郎', '真田广之', 'Vic Morrow', '日本']"
,,,10604,天天笑,(评价人数不足),,https://movie.douban.com/subject/25966118/,醋溜狐狸,"['甜甜熊猫', '苦瓜鹦鹉', '麻辣兔子', '中国大陆', '5分钟']"
,,,10606,天姿乱坠,(评价人数不足),,https://movie.douban.com/subject/2065314/,Bettie Page,"['Tempest Storm', 'Cherrie Knight', '美国', 'Irving "
,,,10615,天才J第二季,(评价人数不足),,https://movie.douban.com/subject/26425412/,陈思宇,"['王梓清', '小夕', '林柯彤', '中国大陆', '曾庆杰']"
,26346,8.1,10625,天才少女,(尚未上映),,https://movie.douban.com/subject/26593587/,2017-04-12(美国),"['克里斯·埃文斯', '珍妮·斯蕾特', '奥克塔维亚·斯宾瑟', '琳赛·邓肯', '麦肯娜·格"
,,,10632,天才老爹拯救地球,(评价人数不足),,https://movie.douban.com/subject/1301727/,1987-12-17 00:00:00,"['美国', '保罗·韦兰德', '85 分钟', '天才老爹拯救地球', '喜剧']"
,,,10642,天明神探之面具谜踪,(评价人数不足),,https://movie.douban.com/subject/26942415/,田川,"['王贤', '中国大陆', '马治国', '66分钟']"
,26,5.6,10653,天气女郎,(评价人数不足),,https://movie.douban.com/subject/4930633/,1995-06-01 00:00:00,"['松本梨香', '根谷美智子', '三木眞一郎', '林延年', '日本']"
,,,10654,天气女郎OVA2,(评价人数不足),,https://movie.douban.com/subject/4927899/,1995-06-01 00:00:00,"['松本梨香', '根谷美智子', '三木眞一郎', '林延年', '深見梨加']"
,,,10676,天狗退治,(评价人数不足),,https://movie.douban.com/subject/5226750/,日本,"['大藤信郎', '动画', '短片', '日语']"
,,,10686,天生大赢家,(评价人数不足),,https://movie.douban.com/subject/1534046/,1971-12-01 00:00:00,"['乔治·席格', '赫克托·埃里仲杜', '凯伦·布莱克', '罗伯特·德尼罗', '美国']"
,,,10691,天生狂野：美国摇滚乐的黄金时代,(评价人数不足),,https://movie.douban.com/subject/25809318/,肖恩·帕克斯,"['英国', 'Rhodri Huw', '', '1 hr', '天生狂野：美国摇滚乐的黄金时代'"
,,,10701,天眼小神童1,(评价人数不足),,https://movie.douban.com/subject/26248014/,中国大陆,[]
,,,10702,天眼小神童第二部,(评价人数不足),,https://movie.douban.com/subject/26933043/,2006-08-21(中国大陆),"['张璐', '张美娟', '房露', '伍凤春', '阎萌萌']"
,,,10703,天眼有奇招1,(评价人数不足),,https://movie.douban.com/subject/26253854/,中国大陆,[]
,,,10714,天空的武士,(评价人数不足),,https://movie.douban.com/subject/3787092/,1976-10-02 00:00:00,"['藤冈弘', '志垣太郎', '大谷直子', '丹波哲郎', '日本']"
,,,10715,天空色的种子,(评价人数不足),,https://movie.douban.com/subject/25971023/,日本,"['近藤喜文', '1分32秒', '天空色的种子', '动画', '中川李枝子']"
,,,10741,天装战队护星者EpicontheMovie,(评价人数不足),,https://movie.douban.com/subject/4868720/,2010-08-07(日本),"['千葉雄大', 'さとう里香', '浜尾京介', 'にわみきほ', '小野健斗']"
,,,10766,天马VS奇美拉,(评价人数不足),,https://movie.douban.com/subject/19944323/,美国,"['John Bradshaw', '天马VS奇美拉', '英语']"
,,,10769,天魔迷踪,(评价人数不足),,https://movie.douban.com/subject/25874846/,朱利安·瑞钦斯,"['莉萨•哈默', 'Adam Seybold', '加拿大 Canada', 'Chad Arch"
,,,10791,太平洋之翼,(评价人数不足),,https://movie.douban.com/subject/3995852/,1963-01-03 00:00:00,"['三船敏郎', '佐藤允', '夏木阳介', '日本', '松林宗惠']"
,,,10792,太平洋大劫杀,(尚未上映),,https://movie.douban.com/subject/26857630/,中国大陆,"['高群书', '贾跃亭', '汉语普通话']"
,,,10801,太极,(尚未上映),,https://movie.douban.com/subject/4312195/,周星驰,"['安妮·海瑟薇', '杰克·布莱克', '美国', '香港', '周星驰']"
,,,10815,太空争霸战,(评价人数不足),,https://movie.douban.com/subject/5115631/,南非,"['美国', 'David Winters', 'Neal Sundstrom', '太空争霸战',"
,,,10836,太空狗月球大冒险,(评价人数不足),,https://movie.douban.com/subject/26850048/,2016-08-26(美国),"['艾丽西亚·希尔维斯通', '阿什丽·辛普森', '山姆·威特沃', 'Kira Buckland"
,,,10842,太空里有什么？,(评价人数不足),,https://movie.douban.com/subject/6828944/,凯尔·杜拉,"['亚瑟·克拉克', '斯坦利·库布里克', '美国', 'Anthony Frewin', '21"
,,,10857,太阳城的故事,(评价人数不足),,https://movie.douban.com/subject/26809173/,中国大陆,"['13分钟', '儿童', '喜剧', '动画', '汉语普通话']"
,,,10860,太阳战队太阳火神,(评价人数不足),,https://movie.douban.com/subject/3766021/,1981-02-07 00:00:00,"['川崎龍介', '五代高之', '杉欣也', '小林朝夫', '日本']"
,,,10861,太阳日,(尚未上映),,https://movie.douban.com/subject/26355309/,美国,"['太阳日', '科幻', 'Mischa Rozema']"
,,,10876,夫妇何求,(评价人数不足),,https://movie.douban.com/subject/26836696/,辛柏青,"['陶慧', '周铁', '刘陆', '中国大陆', '林小革']"
,,,10879,央美云子,(评价人数不足),,https://movie.douban.com/subject/26915550/,中国大陆,"['徐帅', '35分钟', '短片', '汉语普通话']"
,,,10884,失去希望,(评价人数不足),,https://movie.douban.com/subject/26426815/,2015-2-14(美国),"['丹尼·特雷霍', '米莎·巴顿', '迈克尔·马德森', '丹尼尔·鲍德温', '意大利']"
,85,6.1,10898,失恋日,(评价人数不足),,https://movie.douban.com/subject/26874465/,2016-12-22(香港),"['邓丽欣', '苗可秀', '麦明诗', '何浩文', '孙慧雪']"
,,,10900,失控·幽灵飞车,(尚未上映),,https://movie.douban.com/subject/26378810/,2017-01,"['崔胜铉', '张柏芝', '迈克尔·特瑞威诺', '费沁源', '曾舜晞']"
,,,10902,失控的生命,(评价人数不足),,https://movie.douban.com/subject/26918862/,中国大陆,"['郭栋梁', '39min（短片） 78min（长片）', '失控的生命', '纪录片', '短片"
,,,10905,失物少女和强迫症,(评价人数不足),,https://movie.douban.com/subject/26919578/,2016-11-21(中国大陆),"['中国大陆', '12分钟', '爱情', '短片', '汉语普通话']"
,136,6.2,10908,失眠,(尚未上映),,https://movie.douban.com/subject/26748223/,林家栋,"['黄秋生', '香港', '邱礼涛', '失眠', '历史']"
,,,10910,失约时空,(评价人数不足),,https://movie.douban.com/subject/24714569/,1999-07-23(香港),"['文嘉永', '周锐明', '欧子欣', '香港', '雅峻']"
,,,10918,失落的帝国II.中国的桥,(评价人数不足),,https://movie.douban.com/subject/26101669/,Bashar Altabba,"['Marcus Brandt', 'Fu Xiang Chen', '美国', '失落的帝国II."
,,,10919,失落的帝国古老金字塔,(评价人数不足),,https://movie.douban.com/subject/24526806/,美国,"['新星 失落的帝国 古老金字塔', '失落的帝国 古老金字塔', '纪录片', '英语']"
,,,10920,失落的帝国：巨石阵,(评价人数不足),,https://movie.douban.com/subject/25859403/,1997-02-11 00:00:00,"['美国', '', '失落的帝国：巨石阵', '传记', '纪录片']"
,,,10921,失落的帝国：方尖碑,(评价人数不足),,https://movie.douban.com/subject/26381992/,1997-02-12 00:00:00,"['美国', '失落的帝国：方尖碑', '传记', '纪录片', '英语']"
,,,10923,失落的森林,(评价人数不足),,https://movie.douban.com/subject/10754773/,Joey Brown,"['美国', 'Nathan Ellering', '88分钟', '失落的森林', '动作']"
,,,10924,失落的秘符,(尚未上映),,https://movie.douban.com/subject/3688314/,汤姆·汉克斯,"['美国', '马克·罗曼尼克', '失落的秘符', '剧情', '悬疑']"
,,,10930,失踪少女66,(评价人数不足),,https://movie.douban.com/subject/20451515/,愛葉るび,"['辰巳ゆい', '日本', '越坂康史', '失踪少女66', '悬疑']"
,,,10938,失踪：消失的妻子,(评价人数不足),,https://movie.douban.com/subject/26913973/,2016-11-01(韩国),"['Jeong Kyeo-woon (정겨운)', 'Lee Jae-yong-I (이재용)', "
,3145,5.6,10939,失重,(尚未上映),,https://movie.douban.com/subject/6854414/,2017-03-17(美国),"['瑞恩·高斯林', '克里斯蒂安·贝尔', '凯特·布兰切特', '鲁妮·玛拉', '海莉·贝内特"
,,,10947,头巾的故事,(评价人数不足),,https://movie.douban.com/subject/25741565/,2012-04-12(英国),"['Anita Rani', '英国', 'www.bbc.co.uk/programmes/b01"
,,,10951,头文字D2,(尚未上映),,https://movie.douban.com/subject/5349413/,香港,"['刘伟强', '麦兆辉', '108分钟', '剧情', '运动']"
,32,6.3,10968,夹心沙展,(评价人数不足),,https://movie.douban.com/subject/2147433/,馮粹帆,"['黃錦燊', '李殿朗', '香港', '巴山', '92分钟']"
,,,10978,夺命密码,(评价人数不足),,https://movie.douban.com/subject/1917231/,2005-10-19 00:00:00,"['Raquel Riskin', 'Cory Monteith', 'Tara Wilson', "
,,,10987,夺命穿心,(评价人数不足),,https://movie.douban.com/subject/25812639/,2014-10-11(日本),"['乔治·艾德斯', '安娜琳·麦考德', '史蒂芬·朗', '泰德·拉文', '史蒂文·席格']"
,,,10988,夺命街头,(评价人数不足),,https://movie.douban.com/subject/26821157/,白那日苏,"['沈璐', '李雨诺', '方帅', '中国大陆', '徐俊']"
,,,10993,夺命锤,(评价人数不足),,https://movie.douban.com/subject/26830472/,徐栎坤,"['刘建伟', '李宓儿', '中国大陆', '陶金', '97分钟']"
,,,10998,夺宝奇谋,(评价人数不足),,https://movie.douban.com/subject/5974015/,郭秀云,"['钱小豪', '潘志文', '徐二牛', '香港', '钟清玲']"
,,,11015,奇博少年,(评价人数不足),,https://movie.douban.com/subject/10573502/,中国大陆,"['韩峰', '24分钟', '动画', '汉语普通话']"
,,,11021,奇幻之旅,(尚未上映),,https://movie.douban.com/subject/26816376/,王大陆,"['宋佳', '曹炳琨', '金燕玲', '马精武', '中国大陆']"
,,,11032,奇幻龙宝,(评价人数不足),,https://movie.douban.com/subject/11519185/,成龙,"['阎萌萌', '杨莹', '陈倩', '李云鹏', '中国大陆']"
,,,11033,奇异世界,(评价人数不足),,https://movie.douban.com/subject/3162974/,埃斯特班•比格里艾迪 Esteban Bigliardi，塞西莉亚•莱内罗 Ce,"['阿根廷', 'Rodrigo Moreno', '107分钟', '奇异世界', '剧情']"
,36,6.2,11036,奇异家庭,(评价人数不足),,https://movie.douban.com/subject/11510485/,2012-07-04 00:00:00,"['蔡明', '王平', '宋阳', '叶梓萱', '张含韵']"
,,,11046,奇案实录白色通道,(评价人数不足),,https://movie.douban.com/subject/25890954/,麦德罗,"['徐曼华', '张铮', '陈观泰', '張午郎', '罗烈']"
,,,11048,奇点临近,(评价人数不足),,https://movie.douban.com/subject/3011356/,2009-06-01 00:00:00,"['Pauley Perrette', '美国', 'Toshi Hoo', 'Raymond Ku"
,,,11055,奇葩兄妹,(评价人数不足),,https://movie.douban.com/subject/26895983/,2016-10,"['李之浩', '吕太良', '张心怡', '何佳依', '谷籽']"
,,,11075,奇迹背后,(评价人数不足),,https://movie.douban.com/subject/23776578/,台湾,"['蔡崇隆', '陸凱聲', '57分钟', '奇迹背后', '纪录片']"
,3966,7.5,11076,奇迹，那天如此重要,(尚未上映),,https://movie.douban.com/subject/26809007/,2017-01-28(日本),"['松坂桃李', '菅田将晖', '忽那汐里', '平祐奈', '横浜流星']"
,,,11080,奇闻大揭秘：幽浮真相,(评价人数不足),,https://movie.douban.com/subject/25724843/,美国,"['46分钟', '奇闻大揭秘：幽浮真相', '纪录片', '英语']"
,,,11090,奋豆,(评价人数不足),,https://movie.douban.com/subject/26840320/,中国大陆,"['胡靖威', '3分08秒', '喜剧', '动画', '短片']"
,,,11097,契诃夫和玛丽亚,(评价人数不足),,https://movie.douban.com/subject/3789972/,2007-06-02 00:00:00,"['罗恩·博蒂塔', 'Gillian Brashear', '美国', '埃里克·蒂尔', '87"
,,,11105,奔跑,(评价人数不足),,https://movie.douban.com/subject/5185277/,Allu Arjun,"['Sheela', 'Poonam Bajwa', 'Prakash Raj', '印度', 'B"
,68,3.0,11112,奔跑吧！裤衩,(评价人数不足),,https://movie.douban.com/subject/26846771/,2016-08-05(中国大陆),"['MC天佑', 'MC王冕', '林琪', '王斓霏', '中国大陆']"
,98,7.0,11118,奥兹,(评价人数不足),,https://movie.douban.com/subject/26909507/,2016-10-14(西班牙),"['吉尔勒莫罗梅罗 Guillermo Romero', '丹尼·罗维拉 Dani Rovira',"
,,,11129,奥德赛之旅,(评价人数不足),,https://movie.douban.com/subject/24884990/,中国大陆,"['张淼', '60分钟']"
,,,11136,奥斯维辛集中营,(评价人数不足),,https://movie.douban.com/subject/26785165/,2016-04-17(翠贝卡电影节),"['2015-01-25(波兰)', '梅丽尔·斯特里普', '美国', 'James Moll',"
,,,11144,奥森·威尔斯的阴影与光,(评价人数不足),,https://movie.douban.com/subject/26375695/,2015-05-14(戛纳电影节),"['法国', 'Elisabeth Kapnist', '56分钟', '奥森·威尔斯的阴影与光',"
,,,11147,奥特Q电影版星之传说,(评价人数不足),,https://movie.douban.com/subject/2264574/,1990-04-14 00:00:00,"['柴俊夫', '荻野目慶子', '風見しんご', '高樹澪', '堀内正美']"
,,,11154,奥特曼怪兽传说40年后的真相,(评价人数不足),,https://movie.douban.com/subject/25818642/,2005-12-22 00:00:00,"['黑部进', '樱井浩子', '二瓶正也', '石井伊吉', '石坂浩二']"
,,,11156,奥特曼海外电视上映版,(评价人数不足),,https://movie.douban.com/subject/2264557/,奥特曼海外电视上映版,[]
,,,11158,奥特曼超斗士激传,(评价人数不足),,https://movie.douban.com/subject/5349410/,1996-09-25 00:00:00,"['森川智之', '関俊彦', '檜山修之', '千葉繁', '八奈見乗児']"
,,,11164,奥蕾莉亚与佩德罗,(评价人数不足),,https://movie.douban.com/subject/26767305/,2016-02-16 00:00:00,"['墨西哥 Mexico', 'José Permar', 'Omar Robles', '15mi"
,,,11190,女人生活中的一天,(评价人数不足),,https://movie.douban.com/subject/1987128/,1961-03-20(美国),"['英格丽·褒曼', '雷普·汤恩', 'Helena de Crespo', '美国', '英国'"
,,,11192,女人的战争之奉天洞血斗,(评价人数不足),,https://movie.douban.com/subject/26681566/,2016-07-14(韩国),"['태미', '韩国', '94分钟', '女人的战争之奉天洞血斗', '情色']"
,,,11193,女人的战争之女人的理由,(评价人数不足),,https://movie.douban.com/subject/26681565/,2015-09-24 00:00:00,"['김세인', '韩国', '송창수', '女人的战争之女人的理由', '剧情']"
,,,11196,女人的诱耳,(评价人数不足),,https://movie.douban.com/subject/20495772/,2012-11-24 00:00:00,"['桜木梨奈', '中田暁良', '広澤草', '宇野祥平', '笠原紳司']"
,,,11249,女孩之夜,(评价人数不足),,https://movie.douban.com/subject/26583678/,2015-03-18(美国),"['斯托米·丹尼尔斯', '艾莉森.泰勒', '莱克茜·贝莉', '阿萨·阿基拉', '香奈儿.普雷"
,,,11264,女巫宅,(评价人数不足),,https://movie.douban.com/subject/1292952/,1999-06-22 00:00:00,"['Matt Raftery', 'Monica Serene Garnich', 'Ariauna"
,,,11266,女巫猎手的圣经,(评价人数不足),,https://movie.douban.com/subject/10355061/,美国,"['女巫猎手的圣经', '纪录片', '英语']"
,,,11273,女性欲望揭秘,(评价人数不足),,https://movie.douban.com/subject/3009375/,2005-08-29 00:00:00,"['Liza Tarbuck', '英国', 'Lucy Cooke', '4*48', '女性欲望"
,3015,5.6,11281,女教师,(尚未上映),,https://movie.douban.com/subject/26392843/,2017-01-04(韩国),"['金荷娜', '李源根', '刘仁英 ', '韩国', '金泰泳']"
,,,11286,女校也疯狂,(评价人数不足),,https://movie.douban.com/subject/26923676/,2016-12-06(中国大陆),"['李柏霖', '李双', '许杨', '许瑶', '王金金']"
,,,11289,女死刑囚,(评价人数不足),,https://movie.douban.com/subject/25931286/,1991-05-01 00:00:00,"['柏原芳恵', '水原ゆう紀', '佐藤恵美', '鹿内孝', '日本']"
,104,4.7,11291,女法医手记之来访者,(评价人数不足),,https://movie.douban.com/subject/26924738/,2016-12-09(中国大陆),"['赵崔玮', '陈震', '孟子叶', '张祺', '张天柏']"
,,,11299,女獄門帖引き裂かれた尼僧,(评价人数不足),,https://movie.douban.com/subject/3629916/,1977-04-08(日本),"['ひろみ摩耶', '田島はるか', '日本', '牧口雄二', '69分钟']"
,241,8.2,11313,女生宿舍日常,(评价人数不足),,https://movie.douban.com/subject/26844918/,2016-11-20 00:00:00,"['小斌斌', '大圆', '韦彤', '狮兄', '中国大陆']"
,,,11340,女神维纳斯战队,(评价人数不足),,https://movie.douban.com/subject/4820092/,2009-09-05 00:00:00,"['森下悠里', '小泉麻耶', '日本', '山本俊輔', '79分钟']"
,,,11341,女神联盟,(评价人数不足),,https://movie.douban.com/subject/25772422/,龚玥菲,"['赵洁', '朱雯', '朱静', '中国大陆', '崔锡珉']"
,,,11342,女神送上门,(评价人数不足),,https://movie.douban.com/subject/26932881/,2016-12-12(中国大陆),"['周攀', '李诗韵', '耿绍业', '周爽丽', '香港小紫藤']"
,,,11349,女运动员,(评价人数不足),,https://movie.douban.com/subject/2252222/,1980-03-14 00:00:00,"['保罗·托马斯', '约翰·霍姆斯', '西瑞·库斯托', '美国', 'Leonard Kirt"
,,,11361,女魔头：安娜温图尔,(评价人数不足),,https://movie.douban.com/subject/26746986/,安娜·温图尔,"['英国', 'Christine Hall', '49分钟', '女魔头：安娜温图尔', '英语'"
,,,11381,她们的秘密,(评价人数不足),,https://movie.douban.com/subject/25955540/,2014-03-24 00:00:00,"['李晗', '中国大陆', '丁晓嵘', '20分钟', '传记']"
,82,8.8,11385,她在愤怒时最美,(评价人数不足),,https://movie.douban.com/subject/26200629/,Chude Pamela Allen,"['Heather Booth', '美国', 'Mary Dore', '92分钟', '她在愤怒"
,,,11387,她她她之男人靠边站,(评价人数不足),,https://movie.douban.com/subject/26873797/,2016-10-28 00:00:00,"['万妮恩', '付宇城', '中国大陆', '李小帮', '80分钟']"
,,,11398,她要我了,(评价人数不足),,https://movie.douban.com/subject/5913037/,查理·辛,"['希拉里·达芙', '韦恩·奈特', '美国', 'Rob Margolies', '她要我了']"
,94,5.6,11422,好孩子,(评价人数不足),,https://movie.douban.com/subject/24325868/,2016-10-21(美国),"['佐伊·达奇', '艾什莉·贾德', '朱莉娅·加纳', '凯文·查普曼', '维吉尼亚·加德纳'"
,,,11442,好朋友,(评价人数不足),,https://movie.douban.com/subject/5286278/,1971-10-29 00:00:00,"['Sean Bury', 'Anicée Alvina', 'Ronald Lewis', '英国"
,55,3.3,11448,好汉三条半之再战江湖,(评价人数不足),,https://movie.douban.com/subject/26873282/,郭鹏,"['祁映诺', '杨梓邑', '景岗山', '曾江', '冯千']"
,25,8.9,11471,好莱坞百年百句经典电影台词,(评价人数不足),,https://movie.douban.com/subject/2159085/,2005-06-21 00:00:00,"['Elayne Boosler', '詹姆斯·布洛林', '卡梅伦·克罗', 'USA', 'Ga"
,35,8.0,11493,如有变更,(评价人数不足),,https://movie.douban.com/subject/26351059/,AIDEN DEBONO,"['MARYANN WRIGHT', 'KATY AVERY', '澳大利亚', 'DANIEL M"
,1686,7.7,11494,如朕亲临,(评价人数不足),,https://movie.douban.com/subject/26907458/,2016-12-03(台湾),"['李国毅', '连俞涵', '蓝钧天', '房思瑜', '范宸菲']"
,,,11500,如果可以这样爱,(尚未上映),,https://movie.douban.com/subject/26579374/,佟大为,"['刘诗诗', '保剑锋', '孙之鸿', '辛芷蕾', '茹萍']"
,,,11532,妃姬子降临,(评价人数不足),,https://movie.douban.com/subject/26163279/,2014-11-29(日本),"['秋月三佳', '小宮一葉', 'サイボーグかおり', '針原滋', '正木佐和']"
,113,6.7,11568,妈妈错了,(评价人数不足),,https://movie.douban.com/subject/26712129/,2016-11-09(法国),"['艾米莉·德奎恩', '萨巴纳·奥扎尼', 'Audrey Quoturi', 'Grégoire"
,,,11577,妖女伝説セイレーン3,(评价人数不足),,https://movie.douban.com/subject/26324930/,1995-10-06(日本),"['久野真季子', '北村裕子', '坂上忍', '北川たか子', '日本']"
,,,11580,妖怪学院,(评价人数不足),,https://movie.douban.com/subject/26818307/,韩国,"['妖怪学院', '动画']"
,,,11582,妖怪手表：飞天鲸鱼与跨时空大冒险喵！,(评价人数不足),,https://movie.douban.com/subject/26680408/,2016-12-17(日本),"['户松遥', '关智一', '小桜エツコ', '南出凌嘉', '山崎贤人']"
,,,11585,妖树与松鼠,(评价人数不足),,https://movie.douban.com/subject/6788346/,中国大陆,"['王树忱', '钱远达', '19分钟', '动画', '短片']"
,,,11586,妖海奇兵,(评价人数不足),,https://movie.douban.com/subject/5109239/,克里丝塔·艾伦,"['美国', '妖海奇兵', '恐怖', 'Thomas McKelvey Cleaver', '英"
,,,11589,妖猫传,(尚未上映),,https://movie.douban.com/subject/5350027/,2017-12-22(中国大陆),"['黄轩', '染谷将太', '张雨绮', '秦昊', '阿部宽']"
,,,11598,妙先生之雨的孩子,(尚未上映),,https://movie.douban.com/subject/26788988/,中国大陆,"['动画', '短片', '汉语普通话']"
,,,11613,妙探机灵狗,(评价人数不足),,https://movie.douban.com/subject/4068901/,1980-07-11 00:00:00,"['切维·切斯', '简·西摩', '美国', '乔·坎普', '103 分钟']"
,,,11621,妙计合家欢,(评价人数不足),,https://movie.douban.com/subject/1305007/,1991-11-08 00:00:00,"['哈莉·简·科扎克', '索拉·伯奇', '劳伦·白考尔', '美国', 'Robert Lieb"
,34,5.7,11622,妙贼计划,(评价人数不足),,https://movie.douban.com/subject/1420027/,2003-05-15 00:00:00,"['Daniel Baldwin', 'Coolio', 'Alex McArthur', 'Jen"
,105,5.2,11652,姐姐好饿剧场版,(尚未上映),,https://movie.douban.com/subject/26939224/,张亦弛,"['陈庭妮', '谢坤达', '谢依霖', '陈汉典', '中国大陆']"
,,,11684,威廉戈尔丁之梦,(评价人数不足),,https://movie.douban.com/subject/10554903/,2012-03-17 00:00:00,"['Judy Golding', 'John Carey', 'John Carey', 'John"
,13813,7.3,11692,娃娃老板,(尚未上映),,https://movie.douban.com/subject/25907029/,2017-03-31(美国),"['亚历克·鲍德温', '托比·马奎尔', '丽莎·库卓', '吉米·坎摩尔', '史蒂夫·布西密'"
,1742,7.8,11693,娃娃脸司机,(尚未上映),,https://movie.douban.com/subject/25933890/,2017-08-11(美国),"['莉莉·詹姆斯', '凯文·史派西', '乔·博恩瑟', '乔恩·哈姆', '杰米·福克斯']"
,,,11694,娃娃脸尼尔森,(评价人数不足),,https://movie.douban.com/subject/2134849/,1957-12-11 00:00:00,"['Mickey Rooney', 'Carolyn Jones', '美国', 'Don Sieg"
,,,11695,娃娃谷,(尚未上映),,https://movie.douban.com/subject/25824791/,麦当娜,"['詹妮弗·劳伦斯', '安妮·海瑟薇', '埃米·罗森', '美国', '娃娃谷']"
,,,11702,娜姐背后的男人,(评价人数不足),,https://movie.douban.com/subject/26724133/,2016-02-15(柏林电影节),"['荷兰', '比利时', 'Reijer Zwaan', 'Ester Gould', '83分钟"
,,,11721,婆罗门纳曼,(评价人数不足),,https://movie.douban.com/subject/26677805/,Shashank Arora,"['Tanmay Dhanania', 'Chaitanya Varad', 'Vaiswath S"
,,,11723,婚事,(评价人数不足),,https://movie.douban.com/subject/25824644/,中国大陆,"['魏阿挺', '47分38秒', '纪录片', '汉语普通话']"
,1143,6.1,11735,婚宴桌牌19号,(尚未上映),,https://movie.douban.com/subject/3656884/,2017-03-03(美国),"['安娜·肯德里克', '阿曼达·克鲁', '丽莎·库卓', '怀亚特·罗素', '托尼·雷沃罗利'"
,,,11758,婷婷,(评价人数不足),,https://movie.douban.com/subject/26840322/,中国大陆,"['陈杨天惠', '张娴', '璩振蕲', '1分11秒', '剧情']"
,,,11760,媒体斯坦,(评价人数不足),,https://movie.douban.com/subject/25745584/,2013-10-02 00:00:00,"['朱利安·阿桑奇', 'Vladimir Gubanov', 'Sultanbek Joumagu"
,,,11765,嫁人就嫁灰太狼,(评价人数不足),,https://movie.douban.com/subject/26378041/,中国大陆,"['黄伟明', '5分钟', '喜剧', '动画', '汉语普通话']"
,,,11776,嫩子,(评价人数不足),,https://movie.douban.com/subject/25766635/,曹志中,"['王莉娜', '王苏洋', '中国大陆', '李京哲 曹志中', '喜剧']"
